Country,EdLevel,DevType,LanguageHaveWorkedWith,RemoteWork,ConvertedCompYearly,YearsCodePro
Hungary,Bachelor's,Cloud infrastructure engineer,Bash/Shell (all shells);Go;Java;Python,Remote,42394.0,16
New Zealand,Bachelor's,Data scientist or machine learning specialist,Haskell;Java;JavaScript;Lua;Python;R;Rust;TypeScript,"Hybrid (some remote, some in-person)",101403.0,Less than 1 year
Indonesia,Bachelor's,"Developer, full-stack",HTML/CSS;JavaScript;Python;R;Rust;SQL;TypeScript,In-person,6624.0,24
Thailand,Master's,"Developer, back-end",GDScript;Go;HTML/CSS;Java;JavaScript;Kotlin;Python;TypeScript,Remote,44000.0,14
Australia,Bachelor's,System administrator,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Perl;Python;R;SQL,In-person,56817.0,22
Cyprus,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,Remote,128887.0,21
UK,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, mobile",Bash/Shell (all shells);C++;Java;Kotlin,In-person,270062.0,11
Germany,Secondary School,"Developer, full-stack",Go;HTML/CSS;JavaScript;SQL;TypeScript,Remote,91295.0,3
India,Bachelor's,"Developer, back-end",R;Scala,"Hybrid (some remote, some in-person)",17945.0,6
UK,Bachelor's,"Developer, back-end",C#,"Hybrid (some remote, some in-person)",101910.0,3
India,Master's,"Developer, full-stack",C;C#;C++;HTML/CSS;Java;JavaScript;MATLAB;Python;SQL;TypeScript,In-person,7178.0,5
Australia,Bachelor's,"Developer, back-end",C;Dart;Elixir;Go;HTML/CSS;JavaScript;Lisp;Lua;SQL;Swift;TypeScript,Remote,112312.0,4
USA,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);C#;Java,Remote,200000.0,3
India,Master's,"Developer, back-end",Ada;C;C++,"Hybrid (some remote, some in-person)",28712.0,Less than 1 year
Spain,Master's,"Developer, back-end",C;C#;C++;Delphi;Java,"Hybrid (some remote, some in-person)",59073.0,14
India,Bachelor's,Research & Development role,Bash/Shell (all shells);C;C#;C++;PowerShell;Python;SQL;VBA,"Hybrid (some remote, some in-person)",14356.0,5
Tajikistan,Bachelor's,Data or business analyst,Python;SQL,In-person,13426.0,
Australia,Bachelor's,"Senior Executive (C-Suite, VP, etc.)",Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,"Hybrid (some remote, some in-person)",165165.0,10
Ukraine,Bachelor's,"Developer, full-stack",HTML/CSS;JavaScript;TypeScript,Remote,14810.0,
Romania,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Academic researcher,Bash/Shell (all shells);HTML/CSS;MATLAB;R,In-person,23303.0,2
Croatia,Some College,"Developer, game or graphics",C++,In-person,12889.0,6
USA,Bachelor's,"Developer, full-stack",C#;HTML/CSS;Java;JavaScript;Python;R;SQL;TypeScript,Remote,80000.0,5
Germany,Secondary School,"Developer, full-stack",Ruby;SQL;TypeScript,Remote,118147.0,6
Germany,Master's,"Developer, full-stack",Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;PHP;PowerShell;SQL,Remote,92369.0,10
Poland,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);C#;HTML/CSS;Java;JavaScript;SQL;TypeScript,Remote,53452.0,
Germany,Bachelor's,"Developer, back-end",Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Ruby;SQL;TypeScript,"Hybrid (some remote, some in-person)",80555.0,5
Sweden,Master's,Research & Development role,Bash/Shell (all shells);C;C++;Java;MATLAB;Python,"Hybrid (some remote, some in-person)",53606.0,Less than 1 year
Cyprus,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, full-stack",C#;HTML/CSS;Java;JavaScript;PHP;SQL;Visual Basic (.Net),"Hybrid (some remote, some in-person)",102036.0,3
Australia,Bachelor's,"Developer, full-stack",Groovy;HTML/CSS;Java;SQL;TypeScript,"Hybrid (some remote, some in-person)",89189.0,10
Australia,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript,"Hybrid (some remote, some in-person)",56156.0,
South Africa,Bachelor's,Research & Development role,HTML/CSS;R;SQL,"Hybrid (some remote, some in-person)",37666.0,5
Germany,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;PowerShell;Python;TypeScript,"Hybrid (some remote, some in-person)",13533.0,
Turkey,Bachelor's,"Developer, AI",Bash/Shell (all shells);Python,Remote,46185.0,1
Germany,Master's,Data scientist or machine learning specialist,Python,"Hybrid (some remote, some in-person)",71962.0,6
Russian Federation,Some College,System administrator,C#;C++;Go;HTML/CSS;JavaScript;PowerShell;VBA,In-person,6387.0,4
Singapore,Bachelor's,Data or business analyst,Bash/Shell (all shells);Go;HTML/CSS;Julia;PowerShell;Python;R;SQL,"Hybrid (some remote, some in-person)",48045.0,3
India,Bachelor's,"Developer, front-end",HTML/CSS;JavaScript;TypeScript,"Hybrid (some remote, some in-person)",430685.0,13
Germany,Bachelor's,"Developer, full-stack",HTML/CSS;JavaScript;SQL;TypeScript,Remote,21266.0,25
Republic of Moldova,Bachelor's,"Developer, full-stack",Unknown,Remote,5370.0,2
France,Secondary School,"Developer, full-stack",HTML/CSS;SQL;TypeScript,Remote,5370.0,2
Austria,Master's,"Developer, full-stack",C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,"Hybrid (some remote, some in-person)",94732.0,8
India,Master's,"Developer, front-end",HTML/CSS;JavaScript,Remote,23927.0,33
Thailand,Some College,"Developer, full-stack",Bash/Shell (all shells);PHP;Scala;SQL,"Hybrid (some remote, some in-person)",73566.0,
Italy,Some College,"Developer, mobile",Python;Swift,Remote,52629.0,34
India,Master's,"Developer, full-stack",HTML/CSS;JavaScript;TypeScript,Remote,38283.0,29
India,Bachelor's,"Developer, full-stack",Elixir,In-person,4905.0,
Poland,Master's,Data engineer,Python;SQL,Remote,79051.0,13
USA,Some College,"Senior Executive (C-Suite, VP, etc.)",Bash/Shell (all shells);Dart;Java;JavaScript;Kotlin;PHP;Python;SQL;Swift;TypeScript,"Hybrid (some remote, some in-person)",350000.0,20
Japan,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);Dart;JavaScript;Lisp;Python;TypeScript,"Hybrid (some remote, some in-person)",79555.0,5
Nigeria,Master's,Academic researcher,HTML/CSS;JavaScript;PHP;Python;Solidity;SQL;TypeScript,"Hybrid (some remote, some in-person)",997.0,16
Germany,Some College,"Developer, full-stack",Bash/Shell (all shells);Dart;Go;JavaScript;PHP;SQL,Remote,61866.0,32
Switzerland,Something else,"Developer, full-stack",C#;Python;SQL,"Hybrid (some remote, some in-person)",74761.0,Less than 1 year
Sweden,Master's,Data engineer,JavaScript;Python;SQL;TypeScript,"Hybrid (some remote, some in-person)",75659.0,13
Russian Federation,Master's,"Developer, back-end",Bash/Shell (all shells);C;C++;Go;Haskell;HTML/CSS;JavaScript;PHP;Python;R;Ruby;Rust;SQL;TypeScript,Remote,67227.0,9
Australia,Associate,"Developer, front-end",HTML/CSS;JavaScript,In-person,99099.0,13
Bulgaria,Master's,"Developer, full-stack",JavaScript;TypeScript,Remote,2746.0,15
Germany,Bachelor's,"Developer, embedded applications or devices",Bash/Shell (all shells);C#;C++;Python;Rust,In-person,45111.0,15
Ukraine,Bachelor's,"Developer, back-end",Java,Remote,19253.0,12
Pakistan,Bachelor's,"Developer, full-stack",HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,In-person,8614.0,29
United Arab Emirates,Bachelor's,"Developer, full-stack",Assembly;Bash/Shell (all shells);C;C#;Dart;HTML/CSS;Java;JavaScript;OCaml;PowerShell;R;SQL;TypeScript,"Hybrid (some remote, some in-person)",57175.0,15
Sweden,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;JavaScript;Lua;TypeScript,"Hybrid (some remote, some in-person)",49600.0,6
Slovenia,Associate,"Developer, full-stack",C#;Delphi;JavaScript;SQL;TypeScript,"Hybrid (some remote, some in-person)",48333.0,2
Germany,Master's,"Developer, embedded applications or devices",Bash/Shell (all shells);C;Lua;Python,"Hybrid (some remote, some in-person)",76248.0,7
Belgium,Bachelor's,Student,C#;Dart;Go;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,"Hybrid (some remote, some in-person)",32222.0,12
India,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);C;C#;C++;Dart;Go;HTML/CSS;Java;JavaScript;Lua;PHP;Python;R;Rust;SQL;TypeScript,In-person,3589.0,22
Maldives,Bachelor's,"Developer, full-stack",HTML/CSS;JavaScript;PHP;SQL,In-person,1364.0,
Germany,Master's,Educator,Assembly;C++;Kotlin;MATLAB;MicroPython;Python;Swift,"Hybrid (some remote, some in-person)",107406.0,5
Germany,Master's,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,"Hybrid (some remote, some in-person)",64444.0,6
Serbia,Secondary School,"Developer, full-stack",C#;C++;SQL,"Hybrid (some remote, some in-person)",18350.0,12
Germany,Secondary School,"Developer, full-stack",HTML/CSS;Java;JavaScript;Kotlin;Python;SQL,"Hybrid (some remote, some in-person)",45111.0,10
Germany,Something else,"Developer, full-stack",HTML/CSS;JavaScript;Python;TypeScript,"Hybrid (some remote, some in-person)",39740.0,10
"Iran, Islamic Republic of...",Bachelor's,"Developer, full-stack",Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;Rust;SQL;TypeScript,In-person,142560.0,27
Italy,Bachelor's,Other (please specify):,Bash/Shell (all shells);Java;Python,"Hybrid (some remote, some in-person)",64444.0,
Ukraine,Bachelor's,Blockchain,Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;SQL,Remote,23697.0,11
Germany,Secondary School,"Developer, mobile",C;C++;HTML/CSS;Java;JavaScript;MATLAB;PHP;Python;Rust;SQL;TypeScript,In-person,22555.0,14
Romania,Bachelor's,"Developer, mobile",Dart,Remote,28612.0,10
France,Master's,DevOps specialist,Bash/Shell (all shells);C;C#;C++;Dart;Go;Java;JavaScript;PowerShell;Python;SQL;TypeScript,"Hybrid (some remote, some in-person)",64444.0,10
France,Master's,"Developer, QA or test",Bash/Shell (all shells);C++;Groovy;Java;Python;SQL,"Hybrid (some remote, some in-person)",96666.0,4
Austria,Bachelor's,"Developer, mobile",HTML/CSS;Java;JavaScript;Kotlin;PHP;SQL;Swift,"Hybrid (some remote, some in-person)",49407.0,25
Slovakia,Some College,"Developer, QA or test",Java;Python,Remote,2148.0,2
Switzerland,Master's,"Developer, full-stack",C#;HTML/CSS;JavaScript;SQL;TypeScript,"Hybrid (some remote, some in-person)",155984.0,
Poland,Bachelor's,Cloud infrastructure engineer,Bash/Shell (all shells);C#;Groovy;Python;TypeScript,Remote,6038.0,5
Germany,Master's,Research & Development role,Bash/Shell (all shells);C;C++;Java;JavaScript;Python,"Hybrid (some remote, some in-person)",79481.0,6
Czech Republic,Bachelor's,"Developer, mobile",C;C#;C++;HTML/CSS;PHP;SQL;TypeScript,"Hybrid (some remote, some in-person)",8687.0,22
Hong Kong (S.A.R.),Bachelor's,"Developer, full-stack",Bash/Shell (all shells);C#;Dart;JavaScript;R;SQL;TypeScript,"Hybrid (some remote, some in-person)",52477.0,8
Norway,Master's,"Developer, desktop or enterprise applications",Java;Kotlin;Python;SQL;TypeScript,In-person,102950.0,10
Poland,Master's,"Developer, full-stack",C#;HTML/CSS;JavaScript;SQL,"Hybrid (some remote, some in-person)",32170.0,2
India,Master's,Engineering manager,HTML/CSS;JavaScript;Kotlin;TypeScript,"Hybrid (some remote, some in-person)",71781.0,22
Turkey,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Lua;Python;Rust;SQL,"Hybrid (some remote, some in-person)",30914.0,
Germany,Secondary School,"Developer, full-stack",C#;HTML/CSS;JavaScript;Python;SQL,In-person,80555.0,
UK,Master's,"Developer, full-stack",Apex;HTML/CSS;JavaScript;SQL;VBA,Remote,53503.0,3
UK,Bachelor's,"Developer, back-end",C#;HTML/CSS;Java;JavaScript;PowerShell;SQL,"Hybrid (some remote, some in-person)",94267.0,14
UK,Bachelor's,"Developer, full-stack",C;C#;C++;JavaScript;Kotlin;PowerShell,Remote,216559.0,
Estonia,Bachelor's,"Engineer, site reliability",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Kotlin;Python;TypeScript,Remote,103110.0,10
Israel,Bachelor's,Research & Development role,Bash/Shell (all shells);Java;Python;SQL,Remote,148413.0,
Italy,Secondary School,System administrator,C#;PHP;PowerShell,In-person,30074.0,
UK,Bachelor's,Data engineer,Bash/Shell (all shells);PowerShell;Python;SQL,Remote,84076.0,27
Viet Nam,Some College,"Developer, full-stack",C;C++;HTML/CSS;Java;JavaScript;SQL;TypeScript,Remote,24000.0,3
Romania,Some College,"Developer, full-stack",HTML/CSS;JavaScript;PHP;SQL,Remote,3992.0,Less than 1 year
Sri Lanka,Bachelor's,"Developer, mobile",C#;HTML/CSS;Java;JavaScript;SQL,"Hybrid (some remote, some in-person)",19118.0,3
Turkey,Bachelor's,"Developer, full-stack",C;C#;HTML/CSS;Java;JavaScript;Kotlin;MATLAB;Python;SQL;TypeScript;Visual Basic (.Net),"Hybrid (some remote, some in-person)",30000.0,
Spain,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, back-end",HTML/CSS;Java;JavaScript;SQL,Remote,24703.0,11
Ukraine,Bachelor's,"Developer, mobile",Objective-C;Swift,Remote,32109.0,6
India,Bachelor's,"Developer, full-stack",C++;Dart;HTML/CSS;JavaScript;PHP,In-person,4307.0,13
India,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);Go;Java;JavaScript;Rust,In-person,22731.0,28
Kosovo,Some College,"Developer, back-end",JavaScript;Python;SQL,In-person,25777.0,2
Czech Republic,Secondary School,"Developer, full-stack",Bash/Shell (all shells);C;C#;HTML/CSS;JavaScript;Kotlin;PHP;Python;TypeScript,In-person,10424.0,
Taiwan,Master's,"Developer, back-end",Bash/Shell (all shells);C#;C++;Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL;TypeScript,In-person,32120.0,3
Germany,Secondary School,Student,Bash/Shell (all shells);HTML/CSS;Java;PowerShell;Prolog;Python;Scala;SQL;TypeScript,"Hybrid (some remote, some in-person)",12586.0,6
France,Bachelor's,"Developer, front-end",HTML/CSS;JavaScript;SQL;TypeScript,"Hybrid (some remote, some in-person)",38666.0,6
Pakistan,Bachelor's,"Developer, full-stack",C#;HTML/CSS;JavaScript;Python;SQL;TypeScript;Visual Basic (.Net),In-person,1737.0,8
Germany,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);C#;HTML/CSS;Java;PowerShell;SQL,"Hybrid (some remote, some in-person)",62296.0,20
France,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, full-stack",HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript,Remote,107406.0,Less than 1 year
Malaysia,Bachelor's,"Developer, full-stack",HTML/CSS;JavaScript;PHP;SQL;TypeScript,In-person,8391.0,5
Poland,Bachelor's,"Developer, back-end",Groovy;HTML/CSS;Java;JavaScript;SQL,Remote,95026.0,46
France,Master's,"Developer, back-end",Bash/Shell (all shells);HTML/CSS;JavaScript;Python;TypeScript,"Hybrid (some remote, some in-person)",61222.0,
Norway,Bachelor's,"Developer, full-stack",C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,In-person,72065.0,1
France,Master's,Data engineer,Bash/Shell (all shells);R;Solidity,In-person,48333.0,9
Turkey,Some College,Engineering manager,JavaScript;Ruby;SQL;TypeScript,Remote,83467.0,34
Switzerland,Master's,Data engineer,Python;SQL,"Hybrid (some remote, some in-person)",144842.0,5
Germany,Some College,"Developer, back-end",C#;HTML/CSS;TypeScript,Remote,85925.0,3
Thailand,Bachelor's,"Developer, mobile",C++;Objective-C;Python;Swift,In-person,68662.0,4
Hungary,Bachelor's,"Developer, back-end",Java;Kotlin;Python;SQL,Remote,72287.0,10
UK,Master's,"Developer, full-stack",Bash/Shell (all shells);C#;Groovy;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,"Hybrid (some remote, some in-person)",129936.0,4
Germany,Master's,Academic researcher,HTML/CSS;Java;JavaScript;Kotlin;Python;SQL,"Hybrid (some remote, some in-person)",75184.0,7
Spain,Master's,Other (please specify):,JavaScript;R;SQL,"Hybrid (some remote, some in-person)",42425.0,2
Germany,Master's,"Developer, full-stack",C#;HTML/CSS;JavaScript;Python;VBA,"Hybrid (some remote, some in-person)",75184.0,15
Canada,Master's,Scientist,C#;C++;Dart;Go;Java;JavaScript;Python,Remote,65424.0,
Germany,Master's,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;TypeScript,"Hybrid (some remote, some in-person)",66592.0,10
Netherlands,Bachelor's,"Developer, front-end",Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Lua;PHP;Python;TypeScript,"Hybrid (some remote, some in-person)",268515.0,
Slovakia,Master's,"Developer, full-stack",C#;Visual Basic (.Net),Remote,61222.0,15
Taiwan,Bachelor's,Project manager,C;C++;Go;HTML/CSS;JavaScript;SQL;Zig,Remote,4.0,42
Slovenia,Associate,"Developer, desktop or enterprise applications",SQL;VBA,"Hybrid (some remote, some in-person)",48333.0,7
Canada,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Educator,Python,"Hybrid (some remote, some in-person)",109039.0,1
"Iran, Islamic Republic of...","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, desktop or enterprise applications",C#;C++;Java;SQL,In-person,100.0,Less than 1 year
Poland,Secondary School,"Developer, back-end",C#;SQL,Remote,27221.0,13
Spain,Bachelor's,Data engineer,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL,Remote,69814.0,13
Germany,Bachelor's,Data scientist or machine learning specialist,Python,"Hybrid (some remote, some in-person)",21481.0,24
Netherlands,Master's,"Developer, front-end",HTML/CSS;JavaScript;TypeScript,Remote,71425.0,7
France,Master's,"Developer, full-stack",HTML/CSS;JavaScript;PHP;SQL,"Hybrid (some remote, some in-person)",32222.0,2
India,Master's,"Developer, mobile",Dart,Remote,32002.0,4
Germany,Master's,"Developer, back-end",HTML/CSS;Java;JavaScript;Kotlin;Perl;SQL;TypeScript,"Hybrid (some remote, some in-person)",107406.0,6
UK,Bachelor's,"Developer, full-stack",C++;HTML/CSS;Java;JavaScript,"Hybrid (some remote, some in-person)",146496.0,10
Croatia,Master's,Data or business analyst,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;R;SQL,In-person,23629.0,19
Spain,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, back-end",Bash/Shell (all shells);C#;Java;Kotlin;Lua;PowerShell;Python;SQL,In-person,16111.0,2
UK,Some College,"Developer, full-stack",C#;HTML/CSS;JavaScript;SQL;TypeScript,"Hybrid (some remote, some in-person)",67516.0,20
Bangladesh,Bachelor's,"Developer, front-end",HTML/CSS;JavaScript;PHP;Python,Remote,34.0,20
Greece,Master's,"Developer, front-end",HTML/CSS;JavaScript,"Hybrid (some remote, some in-person)",45111.0,3
UK,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Developer, back-end",Bash/Shell (all shells);C++;HTML/CSS;JavaScript;PHP;SQL,"Hybrid (some remote, some in-person)",63694.0,10
Singapore,Secondary School,"Developer, full-stack",Bash/Shell (all shells);Elixir;HTML/CSS;JavaScript;SQL;TypeScript,Remote,214355.0,2
Poland,Some College,"Developer, front-end",JavaScript,Remote,18055.0,14
India,Master's,"Developer, front-end",HTML/CSS;JavaScript;TypeScript,"Hybrid (some remote, some in-person)",6336.0,4
France,Master's,"Developer, back-end",C;C++;Java;Kotlin;Rust,"Hybrid (some remote, some in-person)",53703.0,18
Ukraine,Some College,"Developer, full-stack",C#;HTML/CSS;Java;JavaScript;Python;SQL,"Hybrid (some remote, some in-person)",37.0,6
Poland,Master's,"Developer, front-end",C++;HTML/CSS;Java;JavaScript;Python;TypeScript,"Hybrid (some remote, some in-person)",21381.0,5
Denmark,Bachelor's,"Developer, desktop or enterprise applications",Ada;C#;JavaScript;Visual Basic (.Net),"Hybrid (some remote, some in-person)",69121.0,
India,Master's,"Developer, full-stack",HTML/CSS;JavaScript;PHP;SQL,Remote,2393.0,31
Denmark,Master's,"Developer, embedded applications or devices",Assembly;Bash/Shell (all shells);C;PowerShell,"Hybrid (some remote, some in-person)",136802.0,16
Hong Kong (S.A.R.),Bachelor's,Engineering manager,Bash/Shell (all shells);C++;HTML/CSS;JavaScript;Python,In-person,108794.0,10
India,Bachelor's,"Developer, back-end",Java,"Hybrid (some remote, some in-person)",29909.0,7
Switzerland,Associate,"Developer, full-stack",Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;Java;JavaScript;Lua;PowerShell;Python;SQL;TypeScript;VBA;Visual Basic (.Net),"Hybrid (some remote, some in-person)",111417.0,20
Germany,Bachelor's,"Developer, back-end",Ruby;TypeScript,Remote,61222.0,13
Sri Lanka,Bachelor's,"Developer, full-stack",C#;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,Remote,23703.0,21
Taiwan,Master's,Research & Development role,C#;C++;HTML/CSS;Java;JavaScript;Python;SQL,In-person,24707.0,10
Netherlands,Bachelor's,DevOps specialist,HTML/CSS;JavaScript;Python;TypeScript,"Hybrid (some remote, some in-person)",44037.0,10
UK,Bachelor's,"Developer, full-stack",C#;HTML/CSS;JavaScript;SQL;TypeScript;VBA,In-person,318470.0,Less than 1 year
Germany,Bachelor's,"Developer, full-stack",Java;JavaScript;Python;SQL,"Hybrid (some remote, some in-person)",59288.0,6
Nigeria,Bachelor's,"Developer, mobile",Dart;Java;Kotlin;Swift,Remote,6586.0,4
France,Bachelor's,"Developer, back-end",Python,Remote,161109.0,
China,Bachelor's,"Developer, desktop or enterprise applications",C#;JavaScript;Python;Swift,In-person,52430.0,3
Australia,Bachelor's,DevOps specialist,Java;Kotlin;Python;SQL;TypeScript,"Hybrid (some remote, some in-person)",165165.0,26
Germany,Secondary School,"Developer, front-end",HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,"Hybrid (some remote, some in-person)",12889.0,20
Malaysia,Bachelor's,"Developer, back-end",Go;Python;SQL,"Hybrid (some remote, some in-person)",27969.0,7
Greece,Some College,"Developer, full-stack",HTML/CSS;Java;JavaScript;PowerShell,In-person,24166.0,
Germany,Bachelor's,Engineering manager,Bash/Shell (all shells);Go;Python;TypeScript,Remote,397403.0,6
India,Bachelor's,Cloud infrastructure engineer,JavaScript,"Hybrid (some remote, some in-person)",9571.0,7
Taiwan,Bachelor's,"Developer, full-stack",HTML/CSS;Java;JavaScript;SQL,In-person,16986.0,12
Switzerland,Something else,"Developer, full-stack",JavaScript;Ruby;TypeScript,"Hybrid (some remote, some in-person)",108956.0,
Czech Republic,Some College,"Developer, full-stack",C#;HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,"Hybrid (some remote, some in-person)",26061.0,16
Sweden,Master's,"Developer, full-stack",Dart;JavaScript;PowerShell;Python;SQL;TypeScript;VBA,"Hybrid (some remote, some in-person)",45784.0,22
Czech Republic,Primary School,"Developer, QA or test",JavaScript;Lua;TypeScript,"Hybrid (some remote, some in-person)",14594.0,2
Italy,Master's,"Developer, embedded applications or devices",C;C++;HTML/CSS;JavaScript;Python;SQL,In-person,59073.0,20
Spain,Bachelor's,"Developer, mobile",Java;Kotlin,Remote,32759.0,15
UK,Master's,"Developer, back-end",JavaScript;TypeScript,"Hybrid (some remote, some in-person)",152865.0,
India,Bachelor's,"Developer, full-stack",Go;HTML/CSS;JavaScript;SQL;TypeScript,In-person,11963.0,Less than 1 year
India,Bachelor's,"Developer, full-stack",C;C#;C++;HTML/CSS;JavaScript;SQL,In-person,15553.0,15
Hungary,Master's,Research & Development role,C++;Python,In-person,45655.0,5
Poland,Some College,"Developer, QA or test",C;C#;C++;Python;Rust,"Hybrid (some remote, some in-person)",25241.0,4
UK,Bachelor's,"Developer, back-end",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Remote,58344.0,More than 50 years
UK,Some College,"Developer, full-stack",HTML/CSS;JavaScript;PHP;SQL;TypeScript,"Hybrid (some remote, some in-person)",76433.0,24
Romania,Bachelor's,"Developer, mobile",HTML/CSS;JavaScript;Kotlin;Objective-C;Swift;TypeScript,In-person,23303.0,5
Slovenia,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Rust;SQL;TypeScript,Remote,53703.0,20
UK,Master's,"Developer, full-stack",HTML/CSS;JavaScript,"Hybrid (some remote, some in-person)",70063.0,3
UK,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Rust;SQL,"Hybrid (some remote, some in-person)",76433.0,2
Malaysia,Some College,"Developer, full-stack",C#;Erlang;HTML/CSS;Java;JavaScript;SQL;Visual Basic (.Net),"Hybrid (some remote, some in-person)",5848.0,3
Belgium,Master's,"Developer, desktop or enterprise applications",C#;HTML/CSS;JavaScript;Python;SQL,"Hybrid (some remote, some in-person)",44681.0,7
India,Bachelor's,"Developer, back-end",HTML/CSS;JavaScript;PHP;SQL,Remote,16749.0,14
Canada,Bachelor's,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;Ruby;Rust;TypeScript,"Hybrid (some remote, some in-person)",61789.0,9
Germany,Master's,"Developer, back-end",Bash/Shell (all shells);C#;Go;Groovy;HTML/CSS;Java;Kotlin;PHP;Python;SQL,"Hybrid (some remote, some in-person)",113851.0,10
Germany,Master's,"Developer, full-stack",Bash/Shell (all shells);HTML/CSS;JavaScript;Kotlin;SQL;TypeScript,"Hybrid (some remote, some in-person)",64444.0,7
Germany,Some College,Cloud infrastructure engineer,Bash/Shell (all shells);C;Go;Java;JavaScript;MATLAB;MicroPython;Python,"Hybrid (some remote, some in-person)",107406.0,6
Ukraine,Master's,"Developer, back-end",Bash/Shell (all shells);HTML/CSS;JavaScript;Perl;PHP;SQL,Remote,92000.0,29
Germany,Secondary School,"Developer, mobile",C;C#;C++;Dart;Go;HTML/CSS;Kotlin,"Hybrid (some remote, some in-person)",13963.0,3
Italy,Bachelor's,"Developer, back-end",C#;C++;HTML/CSS;JavaScript;PowerShell;Python;Solidity;SQL;Swift;TypeScript;Visual Basic (.Net),"Hybrid (some remote, some in-person)",41888.0,
Ukraine,Master's,"Developer, back-end",HTML/CSS;JavaScript;PHP;SQL,Remote,1481.0,17
UK,Some College,"Developer, front-end",HTML/CSS;JavaScript;PHP;Python;SQL;TypeScript,Remote,31847.0,12
Spain,Master's,"Developer, desktop or enterprise applications",Assembly;Bash/Shell (all shells);C;C++;Erlang;Go;Haskell;Java;JavaScript;MATLAB;Python;R;Rust;SQL;Visual Basic (.Net),"Hybrid (some remote, some in-person)",38666.0,3
Netherlands,Master's,"Developer, full-stack",Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;SQL;TypeScript,"Hybrid (some remote, some in-person)",102036.0,4
Poland,Master's,"Developer, front-end",HTML/CSS;JavaScript;TypeScript,Remote,10641.0,13
Germany,Secondary School,"Developer, desktop or enterprise applications",Bash/Shell (all shells);C#;F#;HTML/CSS;PowerShell,Remote,52629.0,5
Germany,Some College,"Developer, full-stack",Bash/Shell (all shells);Dart;HTML/CSS;JavaScript;PHP;Python;Swift,"Hybrid (some remote, some in-person)",64444.0,1
France,Master's,Engineering manager,Python;SQL,Remote,85925.0,41
Denmark,Associate,"Developer, full-stack",C#;C++;Dart;HTML/CSS;Java;JavaScript;SQL;TypeScript;Visual Basic (.Net),In-person,16128.0,
